X,Y,AP001,AP002,AP003,AP004,AP005,AP006,AP007,AP008,AP010,AP011,AP014,AP017,AP019,AP021,AP023,AP024,AP029,AP030
17,18,-80.66666666666667,-79.45833333333333,-50.083333333333336,-72.25,-88.33333333333333,-50.166666666666664,-48.333333333333336,-76.3,-83.5,-89.0,-86.28571428571429,-87.66666666666667,-89.75,-83.0,-82.4,-88.33333333333333,-87.0,-82.4
17,19,-85.375,-82.86363636363636,-64.22727272727273,-70.18181818181819,-80.8,-61.45454545454545,-43.90909090909091,-74.63636363636364,-79.75,-87.0,-83.0,-80.625,-95.0,-81.11111111111111,-79.88888888888889,-84.0,-78.01468677260749,-80.77777777777777
18,1,-91.66666666666667,-89.66666666666667,-68.36666666666666,-93.7,-89.68269092884344,-66.36666666666666,-65.53333333333333,-49.53333333333333,-90.26676401096248,-90.80634445488315,-88.0,-94.75,-88.375,-63.06666666666667,-80.93333333333334,-93.5,-77.53333333333333,-83.07692307692308
18,2,-96.5,-94.25,-67.67857142857143,-92.5,-89.96208147744561,-68.71428571428571,-68.71428571428571,-50.42857142857143,-90.31298638092372,-90.77699400188581,-99.0,-88.88888888888889,-89.33333333333333,-66.21428571428571,-82.21428571428571,-90.66666666666667,-74.35714285714286,-83.28571428571429
18,3,-94.125,-93.375,-63.964285714285715,-90.0,-89.86211225279473,-65.33333333333333,-64.14285714285714,-49.642857142857146,-90.15164008301012,-90.72251535555658,-90.87663863484283,-87.57142857142857,-87.0,-65.5,-80.92857142857143,-88.42857142857143,-71.71428571428571,-81.08333333333333
18,4,-90.0,-92.125,-63.42857142857143,-95.1,-90.04974073642242,-66.57142857142857,-62.0,-51.642857142857146,-90.27311353813718,-90.15393663321125,-90.9238313664941,-93.0,-93.0,-69.23076923076923,-83.64285714285714,-96.0,-74.64285714285714,-82.64285714285714
18,5,-96.16666666666667,-93.14285714285714,-61.642857142857146,-86.95833333333333,-93.0,-60.07142857142857,-60.142857142857146,-48.642857142857146,-90.44079494592094,-90.97735107700832,-90.88351118073538,-93.32251150830432,-93.68894232428077,-64.0,-78.92857142857143,-92.51488844103393,-76.42857142857143,-78.78571428571429
18,6,-95.25,-93.125,-63.21875,-87.6,-90.43615400820775,-62.375,-58.375,-48.4375,-92.0,-91.0206025326596,-91.48962934244787,-95.5,-96.66666666666667,-63.5625,-79.0,-95.66666666666667,-78.0625,-78.0
18,7,-95.875,-96.0,-58.75,-88.0,-83.0,-59.785714285714285,-60.42857142857143,-47.92857142857143,-89.0,-90.76593396183458,-91.28424323691988,-94.5,-95.0,-67.07142857142857,-76.92857142857143,-94.5,-68.5,-75.14285714285714
18,8,-92.67602135930947,-83.25,-54.0,-84.75,-89.20817822603026,-52.285714285714285,-50.642857142857146,-51.857142857142854,-89.95200710294232,-88.70123808365007,-98.0,-96.0,-96.0,-68.71428571428571,-74.35714285714286,-90.0,-72.5,-75.42857142857143
18,9,-64.96153846153847,-63.42307692307692,-49.07692307692308,-69.92307692307692,-88.6,-50.69230769230769,-48.84615384615385,-70.63636363636364,-89.33333333333333,-88.0,-81.81818181818181,-81.53846153846153,-78.76923076923077,-76.07692307692308,-71.33333333333333,-80.84615384615384,-58.0,-71.0
18,10,-71.57692307692308,-70.26923076923077,-50.76923076923077,-69.38461538461539,-83.0,-49.76923076923077,-48.53846153846154,-69.8,-85.71428571428571,-87.97505973303491,-72.55555555555556,-74.2,-73.0,-77.92307692307692,-73.42857142857143,-69.9090909090909,-53.77777777777778,-72.0
18,11,-67.84615384615384,-67.15384615384616,-50.38461538461539,-70.07692307692308,-80.0,-50.53846153846154,-49.07692307692308,-74.46153846153847,-86.74855663908443,-85.67680585932825,-74.33333333333333,-79.45454545454545,-81.0,-75.0,-78.38461538461539,-74.15384615384616,-59.77777777777778,-78.23076923076923
18,12,-63.666666666666664,-61.88095238095238,-56.8,-73.23809523809524,-85.25,-56.53333333333333,-54.89473684210526,-75.04761904761905,-86.33333333333333,-85.25,-78.41176470588235,-76.28571428571429,-77.57142857142857,-79.23809523809524,-77.2,-73.38095238095238,-58.588235294117645,-74.8
18,13,-76.0,-79.85714285714286,-40.03846153846154,-70.46153846153847,-92.0,-39.23076923076923,-42.15384615384615,-63.30769230769231,-86.4,-85.75,-89.38461538461539,-89.0,-90.6,-72.76923076923077,-77.38461538461539,-91.0,-68.6923076923077,-81.38461538461539
18,14,-81.16666666666667,-77.45833333333333,-43.666666666666664,-66.83333333333333,-83.0,-40.5,-41.833333333333336,-65.83333333333333,-93.0,-84.0,-87.8,-90.5,-90.0,-78.66666666666667,-77.16666666666667,-88.5,-72.5,-83.66666666666667
18,15,-83.125,-79.54166666666667,-62.92857142857143,-68.5,-86.33333333333333,-46.07142857142857,-46.214285714285715,-70.33333333333333,-87.33333333333333,-91.0,-96.0,-92.2,-90.83333333333333,-79.61538461538461,-77.75,-92.0,-79.08333333333333,-77.25
18,16,-80.53571428571429,-79.92307692307692,-44.17857142857143,-70.21428571428571,-85.2,-52.92857142857143,-42.214285714285715,-70.0,-90.6,-88.0,-95.4,-93.33333333333333,-89.0,-78.5,-74.75,-92.33333333333333,-77.75,-81.0
